First Name | Last Name | Position | Favourit Colour | Cat or Dog | Pineapple on Pizza? | Birth Location
Jessica | Malanos | Red Team | Green | Dog | No | Dubbo
Michael | Lu | Team Lead | Periwinkle | Dog | No | Melbourne
Christine | Allard | Front End Dev | White | Dog | No | Perth
David | Mountain | Back End Dev | Blue | Cat | No | Melbourne
Tommy | Cameron | Back End Dev | Hacker Green | Cat | No | Sydney
Jennifer | Jass | Intern | Yellow | Cat | No | Sydney
Mark | Taylor | Red Team | Rainbow | Cat | No | Sydney
Olivia | Zhang | CEO | Orange | Cat | No | Hong Kong
Emma | Cooper | Intern | Green | Dog | No | Sydney
Zack | Tent | HR | Mint | Cat | No | Melbourne
Max | Nook | Intern | Green | Cat | No | Sydney
Ryan | Truong | Back End Dev | Pink | Dog | No | the hospital
Leo | Lee | Security Guard | Purple | Dog | No | Dubbo
Timmy | Matthews | Red Team | Blue | Cat | No | Melbourne
Naomi | Brew | Secretary | Black | Cat | No | Sydney
Hugh | Russell | Front End Dev | Black | Dog | No | Gosford
